RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
701152,2015180680,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/31/2015,,44XX BLOCK OF FREMONT AV N,B,B2,4900.5008,-122.350036621,47.661079407,"(47.661079407, -122.350036621)"
701184,2015180828,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/31/2015,,24XX BLOCK OF NW 60 ST,B,B1,3200.2006,-122.388694763,47.672374725,"(47.672374725, -122.388694763)"
701196,2015180285,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/31/2015,,36XX BLOCK OF DENSMORE AV N,B,B3,5400.1017,-122.337509155,47.651245117,"(47.651245117, -122.337509155)"
701214,2015903598,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/29/2015,05/28/2015,05/28/2015,16XX BLOCK OF N 45 ST,B,B3,5000.1045,-122.338127136,47.661388397,"(47.661388397, -122.338127136)"
701254,2015903637,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/01/2015,05/31/2015,06/01/2015,94XX BLOCK OF 23 AV SW,F,F2,11402.2017,-122.362609863,47.518280029,"(47.518280029, -122.362609863)"
701275,2015903620,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/27/2015,05/27/2015,NE 47 ST / 11 AV NE,U,U2,5301.2006,-122.316360474,47.663108826,"(47.663108826, -122.316360474)"
702068,2015173110,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/25/2015,05/25/2015,9XX BLOCK OF 30 AV,C,C3,8800.1015,-122.293800354,47.610221863,"(47.610221863, -122.293800354)"
702069,2015173631,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/26/2015,,11XX BLOCK OF OLIVE WY,D,D3,7300.2018,-122.330177307,47.615680695,"(47.615680695, -122.330177307)"
702070,2015173165,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/24/2015,05/24/2015,20XX BLOCK OF 2 AV,M,M1,8002.1001,-122.342399597,47.612117767,"(47.612117767, -122.342399597)"
702071,2015173352,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/20/2015,05/22/2015,16XX BLOCK OF N 37 ST,B,B3,5400.1015,-122.338096619,47.651988983,"(47.651988983, -122.338096619)"
702074,2015903502,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/24/2015,05/25/2015,4 AV W / W DRAVUS ST,Q,Q2,5900.3000,-122.362197876,47.648181915,"(47.648181915, -122.362197876)"
702108,2015903525,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,05/22/2015,05/22/2015,19XX BLOCK OF 7 AV W,Q,Q2,6900.1006,-122.366325378,47.636856079,"(47.636856079, -122.366325378)"
702166,201689823,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,03/14/2016,03/13/2016,03/13/2016,3XX BLOCK OF WESTLAKE AV N,D,D2,7200.1034,-122.33846283,47.621456146,"(47.621456146, -122.33846283)"
701294,2015903632,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/29/2015,05/30/2015,23XX BLOCK OF NW MARKET ST,B,B1,4700.4009,-122.38697052,47.668682098,"(47.668682098, -122.38697052)"
701317,2015180393,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/31/2015,05/31/2015,05/31/2015,125XX BLOCK OF LAKE CITY WY NE,L,L3,100.5005,-122.294700623,47.720184326,"(47.720184326, -122.294700623)"
701500,2015903553,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/27/2015,05/27/2015,16XX BLOCK OF 6 AV,M,M2,8200.1003,-122.335830688,47.612632751,"(47.612632751, -122.335830688)"
